Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-04-18 00:00:00-04:00,164.49583985792435,165.09990072304876,161.75928521227627,162.60130310058594,6318700,0.0,0.0
2022-04-19 00:00:00-04:00,165.4019259282771,170.17947268248412,164.69718827457103,167.5618896484375,14380800,0.0,0.0
2022-04-20 00:00:00-04:00,166.79308457879512,168.69678250940217,166.48189284650067,168.30322265625,8044900,0.0,0.0
2022-04-21 00:00:00-04:00,168.33980917170868,169.20013558887,167.0859369062971,167.81813049316406,6969200,0.0,0.0
2022-04-22 00:00:00-04:00,167.00356858509826,167.6259240556276,166.00596198152155,166.1523895263672,8003600,0.0,0.0
2022-04-25 00:00:00-04:00,166.88457630642137,170.86586916643827,166.66492801539513,170.24349975585938,11176500,0.0,0.0
2022-04-26 00:00:00-04:00,169.41064229610348,170.75604393177983,168.5686106344386,169.02622985839844,10190000,0.0,0.0
2022-04-27 00:00:00-04:00,168.62357290938982,169.15441299911214,166.33547629787992,166.6649627685547,11090100,0.0,0.0
2022-04-28 00:00:00-04:00,166.80223835348806,168.861525246741,166.50020793329233,167.90968322753906,9403900,0.0,0.0
2022-04-29 00:00:00-04:00,167.03103619485083,167.07680091566183,164.92598472643203,165.16395568847656,8463100,0.0,0.0
2022-05-02 00:00:00-04:00,165.17310295128738,166.03342942648354,162.02468009117885,163.4982147216797,7145400,0.0,0.0
2022-05-03 00:00:00-04:00,163.64465229323665,165.31954048242892,162.61957564103747,163.17787170410156,5898700,0.0,0.0
2022-05-04 00:00:00-04:00,163.04973784261958,165.200553965181,162.1344993164967,164.9259796142578,5923000,0.0,0.0
2022-05-05 00:00:00-04:00,164.21211070052323,164.47753771963383,160.4138760327562,161.77757263183594,7089200,0.0,0.0
2022-05-06 00:00:00-04:00,160.29488423695975,161.87824306899535,159.8830296693176,161.42062377929688,6434000,0.0,0.0
2022-05-09 00:00:00-04:00,160.57861750796053,163.4250102531624,159.79151171446773,162.2992706298828,7855200,0.0,0.0
2022-05-10 00:00:00-04:00,163.12297657869408,163.9924504812511,161.53961766431698,162.07960510253906,8186700,0.0,0.0
2022-05-11 00:00:00-04:00,161.04536938591468,163.20533276135993,160.97214863152644,161.20095825195312,6138900,0.0,0.0
2022-05-12 00:00:00-04:00,161.51214393871484,162.86669304803354,159.9013291591313,162.79347229003906,6898600,0.0,0.0
2022-05-13 00:00:00-04:00,163.55313789441047,163.72703546592857,160.89895149404902,161.85995483398438,7732200,0.0,0.0
2022-05-16 00:00:00-04:00,161.85996287133264,163.94670590230356,161.23759331949142,162.98570251464844,5516700,0.0,0.0
2022-05-17 00:00:00-04:00,163.5714496764644,164.46837962686402,161.62198691840783,163.66297912597656,5751100,0.0,0.0
